downtime_id,run_id,machine_id,date,reason_code,duration_minutes,cost_impact_usd,supplier_id,material_id,line_id
DT-MS-3,,,2024-02-10,MATERIAL_SHORTAGE,1560,148200,S1,MAT1,P1-L1
DT-MS-12,,,2024-03-27,MATERIAL_SHORTAGE,540,51300,S1,MAT1,P2-L1
DT-MS-16,,,2024-04-24,MATERIAL_SHORTAGE,540,51300,S1,MAT1,P2-L2
DT-MS-36,,,2024-09-09,MATERIAL_SHORTAGE,420,39900,S1,MAT1,P3-L2
DT-MS-53,,,2025-01-10,MATERIAL_SHORTAGE,660,62700,S1,MAT1,P2-L2
DT-MS-71,,,2025-05-14,MATERIAL_SHORTAGE,540,51300,S1,MAT1,P2-L1
DT-MS-72,,,2025-05-18,MATERIAL_SHORTAGE,360,34200,S1,MAT1,P3-L2
DT-MS-282,,,2024-11-12,MATERIAL_SHORTAGE,480,45600,S4,MAT4,P2-L2
DT-MS-288,,,2024-12-26,MATERIAL_SHORTAGE,600,57000,S4,MAT4,P3-L1
DT-MS-289,,,2025-01-01,MATERIAL_SHORTAGE,540,51300,S4,MAT4,P3-L1
DT-MS-303,,,2025-04-06,MATERIAL_SHORTAGE,360,34200,S4,MAT4,P3-L1
DT-MS-310,,,2025-05-25,MATERIAL_SHORTAGE,360,34200,S4,MAT4,P3-L2
DT-MS-314,,,2025-06-25,MATERIAL_SHORTAGE,540,51300,S4,MAT4,P1-L1
DT-MS-315,,,2025-07-07,MATERIAL_SHORTAGE,840,79800,S4,MAT4,P2-L2
DT-MS-316,,,2025-07-08,MATERIAL_SHORTAGE,480,45600,S4,MAT4,P3-L2
DT-MS-319,,,2024-01-25,MATERIAL_SHORTAGE,600,57000,S5,MAT5,P1-L3
DT-MS-334,,,2024-05-09,MATERIAL_SHORTAGE,600,57000,S5,MAT5,P3-L3
DT-MS-337,,,2024-05-28,MATERIAL_SHORTAGE,480,45600,S5,MAT5,P1-L1
DT-MS-338,,,2024-06-02,MATERIAL_SHORTAGE,360,34200,S5,MAT5,P1-L2
DT-MS-349,,,2024-08-20,MATERIAL_SHORTAGE,480,45600,S5,MAT5,P3-L1
DT-MS-356,,,2024-10-07,MATERIAL_SHORTAGE,420,39900,S5,MAT5,P2-L3
DT-MS-357,,,2024-10-19,MATERIAL_SHORTAGE,720,68400,S5,MAT5,P2-L1
DT-MS-359,,,2024-10-27,MATERIAL_SHORTAGE,360,34200,S5,MAT5,P2-L1
DT-MS-367,,,2024-12-22,MATERIAL_SHORTAGE,360,34200,S5,MAT5,P3-L3
DT-MS-378,,,2025-03-12,MATERIAL_SHORTAGE,540,51300,S5,MAT5,P2-L1
DT-MS-385,,,2025-04-30,MATERIAL_SHORTAGE,540,51300,S5,MAT5,P1-L3
DT-MS-389,,,2025-05-25,MATERIAL_SHORTAGE,360,34200,S5,MAT5,P2-L3
DT-MS-391,,,2025-06-13,MATERIAL_SHORTAGE,660,62700,S5,MAT5,P1-L1
DT-MS-393,,,2025-06-24,MATERIAL_SHORTAGE,480,45600,S5,MAT5,P1-L1
DT-MS-394,,,2025-06-29,MATERIAL_SHORTAGE,360,34200,S5,MAT5,P1-L1
